2016-02-26 03:43:21, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20200
2016-02-26 03:43:45, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20300
2016-02-26 03:44:01, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20400
2016-02-26 03:44:15, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20500
2016-02-26 03:44:38, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20600
2016-02-26 03:44:45, used memory: 1.79MB, allocated memory: 10.00MB, addresses read and compared: 20700
2016-02-26 03:45:03, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 20800
2016-02-26 03:45:16, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 20900
2016-02-26 03:45:32, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 21000
2016-02-26 03:45:44, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 21100
2016-02-26 03:46:02, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 21200
2016-02-26 03:46:13, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 21300
2016-02-26 03:46:20, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 21400
2016-02-26 03:46:42, used memory: 1.76MB, allocated memory: 10.00MB, addresses read and compared: 21500
2016-02-26 03:46:47, used memory: 1.78MB, allocated memory: 10.00MB, addresses read and compared: 21600
2016-02-26 03:47:01, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 21700
2016-02-26 03:47:10, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 21800
2016-02-26 03:47:25, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 21900
2016-02-26 03:47:37, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22000
2016-02-26 03:47:59, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22100
2016-02-26 03:48:07, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22200
2016-02-26 03:48:22, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22300
2016-02-26 03:48:43, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22400
2016-02-26 03:48:54, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 22500
2016-02-26 03:49:18, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22600
2016-02-26 03:49:27, used memory: 1.78MB, allocated memory: 10.00MB, addresses read and compared: 22700
2016-02-26 03:49:38, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22800
2016-02-26 03:50:02, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 22900
2016-02-26 03:50:25, used memory: 1.73MB, allocated memory: 10.00MB, addresses read and compared: 23000
2016-02-26 03:50:39, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 23100
2016-02-26 03:51:04, used memory: 1.78MB, allocated memory: 10.00MB, addresses read and compared: 23200
2016-02-26 03:51:12, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 23300
2016-02-26 03:51:36, used memory: 1.76MB, allocated memory: 10.00MB, addresses read and compared: 23400
2016-02-26 03:51:53, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 23500
2016-02-26 03:52:11, used memory: 1.72MB, allocated memory: 10.00MB, addresses read and compared: 23600
2016-02-26 03:52:31, used memory: 1.78MB, allocated memory: 10.00MB, addresses read and compared: 23700
